"datetime","MDE_ele","PLS_ele","PLS_pumping","PLS_hydrorelease","CAP_div","CAP_losses"
2020-12-01,1083.72,"1677.0298820349",77761,0,141113,1423
2021-01-01,1085.95,"1690.19981160006",71569,0,121163,739
2021-02-01,1087.26,"1693.66",35134,0,110478,1283
2021-03-01,1084.39,"1696.7",33356,437,148394,2185
2021-04-01,1079.3,"1696.11085484296",2171,1292,162943,2959
2021-05-01,1073.5,"1693.78",262,16465,167634,3425
2021-06-01,1068.77,"1681.1",0,103469,89965,3464
2021-07-01,1067.65,"1671.66997253111",998,80046,57356,3382
2021-08-01,1067.96,"1661.27981884528",0,76446,50715,2663
2021-09-01,1067.68,"1659.68",608,8333,107550,2559
2021-10-01,1066.77,"1666.27",53433,0,139103,2343
2021-11-01,1064.97,"1674.31",66963,0,123440,1892
2021-12-01,1066.39,"1677.0298820349",17046,0,85832,1423
