"AMA","Recharge Facility","Water User","Year","Group","Data","Variable","deliveries"
"Phoenix","SRP","Total",2016,"GSF Deliveries","Recharge","Scheduled","72128"
"Phoenix","SRP","Total",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","TID","CAGRD",2016,"GSF Deliveries","Recharge","Delivered","14639"
"Phoenix","TID","CAGRD",2016,"GSF Deliveries","Recharge","Scheduled","14639"
"Phoenix","TID","CAGRD",2016,"GSF Deliveries","Recharge","Remaining","0"
"Phoenix","TID","Total",2016,"GSF Deliveries","Recharge","Delivered","14639"
"Phoenix","TID","Total",2016,"GSF Deliveries","Recharge","Scheduled","14639"
"Phoenix","TID","Total",2016,"GSF Deliveries","Recharge","Remaining","0"
"Pinal","CAIDD","AWBA Pinal AMA",2016,"GSF Deliveries","Recharge","Delivered","5840"
"Pinal","CAIDD","AWBA Pinal AMA",2016,"GSF Deliveries","Recharge","Scheduled","5840"
"Pinal","CAIDD","AWBA Pinal AMA",2016,"GSF Deliveries","Recharge","Remaining","0"
"Pinal","CAIDD","AZWC, Casa Grande",2016,"GSF Deliveries","Recharge","Delivered","1100"
"Pinal","CAIDD","AZWC, Casa Grande",2016,"GSF Deliveries","Recharge","Scheduled","1100"
"Pinal","CAIDD","AZWC, Casa Grande",2016,"GSF Deliveries","Recharge","Remaining","0"
"Pinal","CAIDD","AZWC, Coolidge",2016,"GSF Deliveries","Recharge","Delivered","1400"
"Pinal","CAIDD","AZWC, Coolidge",2016,"GSF Deliveries","Recharge","Scheduled","1400"
"Pinal","CAIDD","AZWC, Coolidge",2016,"GSF Deliveries","Recharge","Remaining","0"
"Pinal","CAIDD","GRIC",2016,"GSF Deliveries","Recharge","Delivered","19960"
"Pinal","CAIDD","GRIC",2016,"GSF Deliveries","Recharge","Scheduled","20500"
"Pinal","CAIDD","GRIC",2016,"GSF Deliveries","Recharge","Remaining","540"
"Pinal","CAIDD","Total",2016,"GSF Deliveries","Recharge","Delivered","28300"
"Pinal","CAIDD","Total",2016,"GSF Deliveries","Recharge","Scheduled","28840"
"Pinal","CAIDD","Total",2016,"GSF Deliveries","Recharge","Remaining","540"
"Pinal","HIDD","AWBA Pinal AMA",2016,"GSF Deliveries","Recharge","Delivered","5840"
"Pinal","HIDD","AWBA Pinal AMA",2016,"GSF Deliveries","Recharge","Scheduled","5840"
"Pinal","HIDD","AWBA Pinal AMA",2016,"GSF Deliveries","Recharge","Remaining","0"
"Pinal","HIDD","AZWC, Casa Grande",2016,"GSF Deliveries","Recharge","Delivered","400"
"Pinal","HIDD","AZWC, Casa Grande",2016,"GSF Deliveries","Recharge","Scheduled","400"
"Pinal","HIDD","AZWC, Casa Grande",2016,"GSF Deliveries","Recharge","Remaining","0"
"Pinal","HIDD","AZWC, Coolidge",2016,"GSF Deliveries","Recharge","Delivered","600"
"Pinal","HIDD","AZWC, Coolidge",2016,"GSF Deliveries","Recharge","Scheduled","600"
"Pinal","HIDD","AZWC, Coolidge",2016,"GSF Deliveries","Recharge","Remaining","0"
"Pinal","HIDD","GRIC",2016,"GSF Deliveries","Recharge","Delivered","17951"
"Pinal","HIDD","GRIC",2016,"GSF Deliveries","Recharge","Scheduled","18000"
"Pinal","HIDD","GRIC",2016,"GSF Deliveries","Recharge","Remaining","49"
"Pinal","HIDD","Total",2016,"GSF Deliveries","Recharge","Delivered","24791"
"Pinal","HIDD","Total",2016,"GSF Deliveries","Recharge","Scheduled","24840"
"Pinal","HIDD","Total",2016,"GSF Deliveries","Recharge","Remaining","49"
"Pinal","MSIDD","AWBA Pinal AMA",2016,"GSF Deliveries","Recharge","Delivered","5840"
"Pinal","MSIDD","AWBA Pinal AMA",2016,"GSF Deliveries","Recharge","Scheduled","5840"
"Pinal","MSIDD","AWBA Pinal AMA",2016,"GSF Deliveries","Recharge","Remaining","0"
"Pinal","MSIDD","AZWC, Casa Grande",2016,"GSF Deliveries","Recharge","Delivered","2500"
"Pinal","MSIDD","AZWC, Casa Grande",2016,"GSF Deliveries","Recharge","Scheduled","2500"
"Pinal","MSIDD","AZWC, Casa Grande",2016,"GSF Deliveries","Recharge","Remaining","0"
"Pinal","MSIDD","CAGRD",2016,"GSF Deliveries","Recharge","Delivered","160"
"Pinal","MSIDD","CAGRD",2016,"GSF Deliveries","Recharge","Scheduled","160"
"Pinal","MSIDD","CAGRD",2016,"GSF Deliveries","Recharge","Remaining","0"
"Pinal","MSIDD","Eloy",2016,"GSF Deliveries","Recharge","Delivered","1600"
"Pinal","MSIDD","Eloy",2016,"GSF Deliveries","Recharge","Scheduled","1600"
