"Year","Month","Product","Use","variable","value"
2022,"APR","SOLAR","Buy","Unit Price ($/MWH)","24.99"
2022,"APR","HOOVER","Buy","Unit Price ($/MWH)","43.87"
2022,"MAY","SRP FLEET OPTION","Buy","Unit Price ($/MWH)","41.589675"
2022,"MAY","SOLAR","Buy","Unit Price ($/MWH)","24.99"
2022,"MAY","HOOVER","Buy","Unit Price ($/MWH)","43.87"
2022,"JUN","SRP FLEET OPTION","Buy","Unit Price ($/MWH)","42.021"
2022,"JUN","SOLAR","Buy","Unit Price ($/MWH)","24.99"
2022,"JUN","HOOVER","Buy","Unit Price ($/MWH)","43.87"
2022,"JUL","SRP FLEET OPTION","Buy","Unit Price ($/MWH)","49.3615125"
2022,"JUL","SOLAR","Buy","Unit Price ($/MWH)","24.99"
2022,"JUL","HOOVER","Buy","Unit Price ($/MWH)","43.87"
2022,"AUG","SRP FLEET OPTION","Buy","Unit Price ($/MWH)","49.5851625"
2022,"AUG","SOLAR","Buy","Unit Price ($/MWH)","24.99"
2022,"AUG","HOOVER","Buy","Unit Price ($/MWH)","43.87"
2022,"SEP","SRP FLEET OPTION","Buy","Unit Price ($/MWH)","48.6027"
2022,"SEP","SOLAR","Buy","Unit Price ($/MWH)","24.99"
2022,"SEP","HOOVER","Buy","Unit Price ($/MWH)","43.87"
2022,"OCT","SRP FLEET OPTION","Buy","Unit Price ($/MWH)","43.71035625"
2022,"OCT","SOLAR","Buy","Unit Price ($/MWH)","24.99"
2022,"OCT","HOOVER","Buy","Unit Price ($/MWH)","43.87"
2022,"NOV","SRP FLEET OPTION","Buy","Unit Price ($/MWH)","48.4749"
2022,"NOV","SOLAR","Buy","Unit Price ($/MWH)","24.99"
2022,"NOV","HOOVER","Buy","Unit Price ($/MWH)","43.87"
2022,"DEC","SRP FLEET OPTION","Buy","Unit Price ($/MWH)","53.17554375"
2022,"DEC","SOLAR","Buy","Unit Price ($/MWH)","24.99"
2022,"DEC","HOOVER","Buy","Unit Price ($/MWH)","43.87"
2022,"TOTAL","SRP FLEET OPTION","Buy","Unit Price ($/MWH)","48.4528304280822"
2022,"TOTAL","SOLAR","Buy","Unit Price ($/MWH)","24.99"
2022,"TOTAL","HOOVER","Buy","Unit Price ($/MWH)","0"
2022,"JAN","SRP FLEET OPTION","Buy","Total Dollars","1485256.5"
2022,"JAN","SOLAR","Buy","Total Dollars","132117.98930694"
2022,"JAN","HOOVER","Buy","Total Dollars","319373.6"
2022,"FEB","SRP FLEET OPTION","Buy","Total Dollars","1341522"
2022,"FEB","SOLAR","Buy","Total Dollars","148736.04534957"
2022,"FEB","HOOVER","Buy","Total Dollars","337711.26"
2022,"MAR","SRP FLEET OPTION","Buy","Total Dollars","1270294.18425"
2022,"MAR","SOLAR","Buy","Total Dollars","193711.95686094"
2022,"MAR","HOOVER","Buy","Total Dollars","571757.71"
2022,"APR","SRP FLEET OPTION","Buy","Total Dollars","1070805.015"
2022,"APR","SOLAR","Buy","Total Dollars","223020.96606594"
2022,"APR","HOOVER","Buy","Total Dollars","605756.96"
2022,"MAY","SRP FLEET OPTION","Buy","Total Dollars","1082995.137"
2022,"MAY","SOLAR","Buy","Total Dollars","255338.65446768"
2022,"MAY","HOOVER","Buy","Total Dollars","587945.74"
2022,"JUN","SRP FLEET OPTION","Buy","Total Dollars","1058929.2"
2022,"JUN","SOLAR","Buy","Total Dollars","250026.84988974"
2022,"JUN","HOOVER","Buy","Total Dollars","556403.21"
2022,"JUL","SRP FLEET OPTION","Buy","Total Dollars","1285373.7855"
2022,"JUL","SOLAR","Buy","Total Dollars","225686.99052942"
2022,"JUL","HOOVER","Buy","Total Dollars","482701.61"
2022,"AUG","SRP FLEET OPTION","Buy","Total Dollars","1291197.6315"
2022,"AUG","SOLAR","Buy","Total Dollars","208599.18426207"
2022,"AUG","HOOVER","Buy","Total Dollars","460766.61"
2022,"SEP","SRP FLEET OPTION","Buy","Total Dollars","1224788.04"
2022,"SEP","SOLAR","Buy","Total Dollars","179160.44329554"
2022,"SEP","HOOVER","Buy","Total Dollars","406148.46"
2022,"OCT","SRP FLEET OPTION","Buy","Total Dollars","1138217.67675"
2022,"OCT","SOLAR","Buy","Total Dollars","166489.78113852"
2022,"OCT","HOOVER","Buy","Total Dollars","509067.48"
2022,"NOV","SRP FLEET OPTION","Buy","Total Dollars","1221567.48"
2022,"NOV","SOLAR","Buy","Total Dollars","133962.18223458"
2022,"NOV","HOOVER","Buy","Total Dollars","476384.33"
2022,"DEC","SRP FLEET OPTION","Buy","Total Dollars","1384691.15925"
2022,"DEC","SOLAR","Buy","Total Dollars","117582.61173456"
2022,"DEC","HOOVER","Buy","Total Dollars","286076.27"
2022,"TOTAL","SRP FLEET OPTION","Buy","Total Dollars","14855637.80925"
2022,"TOTAL","SOLAR","Buy","Total Dollars","2234433.6551355"
2022,"TOTAL","HOOVER","Buy","Total Dollars","5600093.24"
